entity_name,target_address,bitcoin_address,transaction_id,date,amount_satoshi,amount_btc,amount_usd,wallet_address,type
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,29110,0.0002911,17.0066442,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,1100000,0.011,642.6419999999999,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,8203,8.203e-05,4.79235666,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,47031,0.00047031,27.47645082,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,900000,0.009,525.798,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,159842,0.00159842,93.38289324,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,35037,0.00035037,20.46931614,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,30180,0.0003018,17.631759600000002,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,1000000,0.01,584.22,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,13500,0.000135,7.88697,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,10000,0.0001,5.8422,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,25000,0.00025,14.605500000000001,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,99500,0.000995,58.12989,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
Alex Jones / Infowars,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,2cbde48199c3a30ca797197b25c7f9adab78fa182334dbbc0226cff2c8ea8ad8,2022-11-08 16:58:16,16671,0.00016671,9.739531620000001,bc1q0kpk303cljyn62vgve34hcxlztn7zfmh0jgjtf,Outgoing
