entity_name,target_address,bitcoin_address,transaction_id,date,amount_satoshi,amount_btc,amount_usd,wallet_address,type
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,0040984665c814dbce4b500d6e2ac8aa4b7ee0143c453f7f8ffa27650bfc428c,2022-11-08 16:45:50,260979,0.00260979,152.32822271999999,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,Outgoing
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1q3m2tsfma4526hvuj4hyusgqmsqr0tuk2rqw48d,0040984665c814dbce4b500d6e2ac8aa4b7ee0143c453f7f8ffa27650bfc428c,2022-11-08 16:45:50,30948,0.00030948,18.06372864,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,Outgoing
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,0040984665c814dbce4b500d6e2ac8aa4b7ee0143c453f7f8ffa27650bfc428c,2022-11-08 16:45:50,52903,0.00052903,30.87842304,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,Outgoing
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,0040984665c814dbce4b500d6e2ac8aa4b7ee0143c453f7f8ffa27650bfc428c,2022-11-08 16:45:50,37118,0.00037118,21.665034239999997,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,Outgoing
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,3AqYh4as2PRurSK2NzaCeF22tEaX3jdVEp,0040984665c814dbce4b500d6e2ac8aa4b7ee0143c453f7f8ffa27650bfc428c,2022-11-08 16:45:50,376593,0.00376593,219.80980223999998,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,Outgoing
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,3QtBu4E28tbc2nTXfDFx8FzJaRDLU9vLnK,0e9b467359df17257f6c4f13a95a118bfb5e6fa928a3f018d0d81af5813686da,2022-09-29 04:28:34,27746020,0.2774602,16194.7969536,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1qzp7dcucspynk52vuln0u55jmzny6vtqd2mmnay,0e9b467359df17257f6c4f13a95a118bfb5e6fa928a3f018d0d81af5813686da,2022-09-29 04:28:34,90093,0.00090093,52.58548224,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1q427yvucewplssulsd2c9q3rmapcg04l34gsnxy,0e9b467359df17257f6c4f13a95a118bfb5e6fa928a3f018d0d81af5813686da,2022-09-29 04:28:34,1511889,0.01511889,882.45937152,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1qmfhs4ql5fksggggr4vc89q5kdn200q00kers49,0e9b467359df17257f6c4f13a95a118bfb5e6fa928a3f018d0d81af5813686da,2022-09-29 04:28:34,384523,0.00384523,224.43838463999998,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1q0hsur5z4fym6sh9an8wpjkgs9x2zhtsamm9gu9,0e9b467359df17257f6c4f13a95a118bfb5e6fa928a3f018d0d81af5813686da,2022-09-29 04:28:34,701334,0.00701334,409.35462911999997,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1qak0fhma2m27hl2y3m5qk0jm6m5nge45tzkkx54wffhudgusy96vs0lssf7,0e9b467359df17257f6c4f13a95a118bfb5e6fa928a3f018d0d81af5813686da,2022-09-29 04:28:34,710876,0.00710876,414.92410368000003,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,1KaAr6fU7gi6F3QR29aDEhFbw72WosfVXR,0e9b467359df17257f6c4f13a95a118bfb5e6fa928a3f018d0d81af5813686da,2022-09-29 04:28:34,508376,0.00508376,296.72890368,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,
Alex Jones / Infowars,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,bc1qn29ssc2lzx5d5p4r5h738wp6q6z0dz3j9neqzd,0e9b467359df17257f6c4f13a95a118bfb5e6fa928a3f018d0d81af5813686da,2022-09-29 04:28:34,18036,0.00018036,10.52725248,bc1qt7fhd9dr3k67hjaycu0e09dkt829scxwvhxh20,
